class,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
blue,0.368,0.788,0.0753,0.156,0.000134,0.127,0.326
blue,0.265,0.128,0.0343,0.888,0.36,0.105,0.0834
blue,0.557,0.609,0.0259,0.193,7.69e-05,0.135,0.17
blue,0.568,0.293,0.0313,0.804,1.26e-05,0.107,0.252
blue,0.468,0.331,0.036,0.613,0.00108,0.129,0.0965
blue,0.487,0.199,0.0354,0.726,3.91e-05,0.125,0.162
blue,0.38,0.524,0.0454,0.88,0.00739,0.116,0.397
blue,0.251,0.287,0.0408,0.895,0.00155,0.348,0.0943
blue,0.209,0.412,0.0443,0.172,0.15,0.0843,0.154
blue,0.439,0.553,0.0376,0.609,0,0.111,0.219
blue,0.68,0.0806,0.0406,0.979,0.354,0.124,0.276
blue,0.592,0.416,0.0246,0.882,0.000586,0.112,0.394
blue,0.435,0.155,0.046,0.873,0,0.107,0.0918
blue,0.408,0.305,0.0448,0.96,0.0035,0.129,0.175
blue,0.405,0.111,0.0369,0.964,4.37e-05,0.0872,0.203
blue,0.515,0.43,0.0369,0.0102,0.000141,0.129,0.096
blue,0.56,0.442,0.0243,0.727,1.71e-05,0.11,0.21
blue,0.243,0.313,0.0285,0.115,0.237,0.593,0.212
blue,0.209,0.418,0.0338,0.163,0.00195,0.113,0.122
blue,0.552,0.643,0.0327,0.0364,0.74,0.105,0.207
green,0.767,0.732,0.282,0.056,4.73e-06,0.0688,0.873
green,0.755,0.696,0.194,0.123,0,0.106,0.444
green,0.826,0.704,0.322,0.0218,0,0.292,0.784
green,0.743,0.539,0.122,0.00266,0.00902,0.219,0.352
green,0.801,0.578,0.181,0.0103,0.811,0.199,0.501
green,0.932,0.462,0.284,0.137,7.91e-06,0.0653,0.751
green,0.804,0.607,0.37,0.0773,0,0.0993,0.831
green,0.728,0.5,0.0344,0.0749,5.84e-06,0.108,0.371
green,0.67,0.396,0.0266,0.812,0.822,0.249,0.538
green,0.645,0.821,0.153,0.016,1.21e-05,0.156,0.663
green,0.608,0.405,0.0265,0.539,6.7e-06,0.231,0.231
green,0.814,0.482,0.0588,0.0111,1.57e-06,0.0476,0.636
green,0.78,0.427,0.126,0.128,1.76e-05,0.0697,0.537
green,0.268,0.742,0.0355,0.0518,0,0.626,0.413
green,0.801,0.335,0.498,0.152,0,0.103,0.854
green,0.673,0.772,0.0427,0.0223,1.23e-06,0.141,0.578
green,0.71,0.589,0.167,0.068,4.38e-06,0.176,0.639
green,0.839,0.578,0.0645,0.0389,0,0.135,0.646
green,0.459,0.382,0.0269,0.875,0.548,0.111,0.276
green,0.696,0.72,0.146,0.12,0,0.0681,0.81
indigo,0.842,0.666,0.0825,0.00736,0.852,0.639,0.73
indigo,0.295,0.0326,0.0334,0.969,4.87e-05,0.0776,0.154
indigo,0.427,0.0307,0.0421,0.984,0.893,0.108,0.139
indigo,0.65,0.833,0.0355,0.00559,0.000727,0.186,0.676
